java_version,scenario,profile,lane,host_os,container_runtime,cpu_limit,memory_limit_mb,loadgen_location,app_location,thread_mode,db_mode,run_class,idle_rss_kb,post_load_rss_kb,rss_delta_kb,pid,log_file,source_file
21,aggregate-platform,stock,linux-container,darwin,docker,2,2048,host,container,platform,jdbc,memory,94197,131686,37489,container:java-lts-lab-21-8081-1774911410,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/linux-container/java21/memory/aggregate-platform-memory-java21.log,results/raw/stock/linux-container/java21/memory/aggregate-platform-memory-java21.txt
21,aggregate-virtual,stock,linux-container,darwin,docker,2,2048,host,container,virtual,jdbc,memory,95416,127180,31764,container:java-lts-lab-21-8081-1774911424,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/linux-container/java21/memory/aggregate-virtual-memory-java21.log,results/raw/stock/linux-container/java21/memory/aggregate-virtual-memory-java21.txt
21,products-db,stock,linux-container,darwin,docker,2,2048,host,container,request,jdbc,memory,93777,123289,29512,container:java-lts-lab-21-8081-1774911383,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/linux-container/java21/memory/products-db-memory-java21.log,results/raw/stock/linux-container/java21/memory/products-db-memory-java21.txt
21,products,stock,linux-container,darwin,docker,2,2048,host,container,request,none,memory,92600,99696,7096,container:java-lts-lab-21-8081-1774911370,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/linux-container/java21/memory/products-memory-java21.log,results/raw/stock/linux-container/java21/memory/products-memory-java21.txt
21,transform,stock,linux-container,darwin,docker,2,2048,host,container,request,none,memory,94535,97914,3379,container:java-lts-lab-21-8081-1774911397,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/linux-container/java21/memory/transform-memory-java21.log,results/raw/stock/linux-container/java21/memory/transform-memory-java21.txt
21,aggregate-platform,stock,macos-container,darwin,docker,2,2048,host,container,platform,jdbc,memory,97443,129740,32297,container:java-lts-lab-21-8081-1774911229,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/macos-container/java21/memory/aggregate-platform-memory-java21.log,results/raw/stock/macos-container/java21/memory/aggregate-platform-memory-java21.txt
21,aggregate-virtual,stock,macos-container,darwin,docker,2,2048,host,container,virtual,jdbc,memory,94720,134860,40140,container:java-lts-lab-21-8081-1774911242,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/macos-container/java21/memory/aggregate-virtual-memory-java21.log,results/raw/stock/macos-container/java21/memory/aggregate-virtual-memory-java21.txt
21,products-db,stock,macos-container,darwin,docker,2,2048,host,container,request,jdbc,memory,96983,119398,22415,container:java-lts-lab-21-8081-1774911201,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/macos-container/java21/memory/products-db-memory-java21.log,results/raw/stock/macos-container/java21/memory/products-db-memory-java21.txt
21,products,stock,macos-container,darwin,docker,2,2048,host,container,request,none,memory,96051,106803,10752,container:java-lts-lab-21-8081-1774911187,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/macos-container/java21/memory/products-memory-java21.log,results/raw/stock/macos-container/java21/memory/products-memory-java21.txt
21,transform,stock,macos-container,darwin,docker,2,2048,host,container,request,none,memory,93634,97280,3646,container:java-lts-lab-21-8081-1774911215,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/macos-container/java21/memory/transform-memory-java21.log,results/raw/stock/macos-container/java21/memory/transform-memory-java21.txt
