java_version,scenario,profile,thread_mode,db_mode,run_class,run_number,external_startup_ms,quarkus_startup_ms,port,log_file,source_file
21,startup,stock,none,none,startup,1,596,393,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/stock/java21/quarkus/startup-java21-run1.log,results/raw/stock/java21/quarkus/startup-java21-run1.txt
17,startup,stock,none,none,startup,1,454,251,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java17/quarkus/startup-java17-run1.log,results/raw/java17/quarkus/startup-java17-run1.txt
17,startup,stock,none,none,startup,2,457,249,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java17/quarkus/startup-java17-run2.log,results/raw/java17/quarkus/startup-java17-run2.txt
17,startup,stock,none,none,startup,3,455,252,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java17/quarkus/startup-java17-run3.log,results/raw/java17/quarkus/startup-java17-run3.txt
17,startup,stock,none,none,startup,4,457,247,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java17/quarkus/startup-java17-run4.log,results/raw/java17/quarkus/startup-java17-run4.txt
17,startup,stock,none,none,startup,5,458,248,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java17/quarkus/startup-java17-run5.log,results/raw/java17/quarkus/startup-java17-run5.txt
25,startup,stock,none,none,startup,1,460,292,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java25/quarkus/startup-java25-run1.log,results/raw/java25/quarkus/startup-java25-run1.txt
25,startup,stock,none,none,startup,2,454,249,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java25/quarkus/startup-java25-run2.log,results/raw/java25/quarkus/startup-java25-run2.txt
25,startup,stock,none,none,startup,3,450,247,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java25/quarkus/startup-java25-run3.log,results/raw/java25/quarkus/startup-java25-run3.txt
25,startup,stock,none,none,startup,4,451,245,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java25/quarkus/startup-java25-run4.log,results/raw/java25/quarkus/startup-java25-run4.txt
25,startup,stock,none,none,startup,5,458,246,8080,/Users/patriciarego/Desktop/dev/java-lts-performance-lab/results/raw/java25/quarkus/startup-java25-run5.log,results/raw/java25/quarkus/startup-java25-run5.txt
