
 Version: 2.1
 Chunks: 1
 Start: 2026-03-30 22:59:52 (UTC)
 Duration: 6 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      2536         60417
 jdk.Checkpoint                           1417        562488
 jdk.SystemProcess                         959        104468
 jdk.ModuleExport                          866          8522
 jdk.NativeLibrary                         853         72820
 jdk.PromoteObjectInNewPLAB                735         12353
 jdk.ThreadStart                           678          9304
 jdk.ThreadEnd                             654          7054
 jdk.BooleanFlag                           490         14424
 jdk.ActiveSetting                         360         10031
 jdk.NativeMethodSample                    273          3000
 jdk.ObjectAllocationSample                269          3985
 jdk.ThreadPark                            187          6793
 jdk.JavaErrorThrow                        181          6696
 jdk.LongFlag                              162          5092
 jdk.ModuleRequire                         157          1413
 jdk.UnsignedLongFlag                      132          4353
 jdk.PromoteObjectOutsidePLAB              112          1728
 jdk.Deoptimization                         76          1795
 jdk.InitialEnvironmentVariable             74          4253
 jdk.TenuringDistribution                   60           623
 jdk.ThreadAllocationStatistics             49           492
 jdk.InitialSecurityProperty                48          2532
 jdk.ExecuteVMOperation                     41           620
 jdk.StringFlag                             29          1053
 jdk.SafepointBegin                         26           357
 jdk.IntFlag                                23           892
 jdk.GCPhasePauseLevel1                     22           874
 jdk.OldObjectSample                        21           671
 jdk.MetaspaceChunkFreeListSummary          20           360
 jdk.GCReferenceStatistics                  20           207
 jdk.InitialSystemProperty                  16          1008
 jdk.UnsignedIntFlag                        15           476
 jdk.DoubleFlag                             15           590
 jdk.GCPhasePauseLevel2                     14           451
 jdk.JavaMonitorEnter                       13           299
 jdk.ThreadCPULoad                          12           192
 jdk.GCHeapSummary                          10           405
 jdk.MetaspaceSummary                       10           506
 jdk.G1HeapSummary                          10           230
 jdk.ExecutionSample                         9           102
 jdk.SocketRead                              8           344
 jdk.ClassLoaderStatistics                   7           185
 jdk.ResidentSetSize                         6            90
 jdk.GCHeapMemoryPoolUsage                   6           216
 jdk.G1MMU                                   6            78
 jdk.GCCPUTime                               6            87
 jdk.GCPhasePause                            6           144
 jdk.GCPhaseConcurrent                       6           269
 jdk.JavaThreadStatistics                    6            71
 jdk.ClassLoadingStatistics                  6            60
 jdk.CompilerStatistics                      6           162
 jdk.CodeCacheStatistics                     6           165
 jdk.ExceptionStatistics                     6            78
 jdk.GarbageCollection                       5           110
 jdk.CPULoad                                 5            95
 jdk.FinalizerStatistics                     5            80
 jdk.YoungGarbageCollection                  4            51
 jdk.G1GarbageCollection                     4            51
 jdk.EvacuationInformation                   4           100
 jdk.G1EvacuationYoungStatistics             4           150
 jdk.G1EvacuationOldStatistics               4           122
 jdk.G1BasicIHOP                             4           152
 jdk.G1AdaptiveIHOP                          4           157
 jdk.GCPhaseConcurrentLevel1                 4           145
 jdk.JavaMonitorWait                         3            79
 jdk.GCHeapMemoryUsage                       2            40
 jdk.MetaspaceGCThreshold                    2            32
 jdk.CompilationFailure                      2           108
 jdk.PhysicalMemory                          2            37
 jdk.GCConfiguration                         2            49
 jdk.Metadata                                1        103227
 jdk.ActiveRecording                         1            50
 jdk.DirectBufferStatistics                  1            23
 jdk.MetaspaceAllocationFailure              1            15
 jdk.OldGarbageCollection                    1            12
 jdk.Shutdown                                1            41
 jdk.JVMInformation                          1           696
 jdk.OSInformation                           1           141
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1           113
 jdk.CPUTimeStampCounter                     1            18
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            40
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            25
 jdk.YoungGenerationConfiguration            1            16
 jdk.Deserialization                         0             0
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.ThreadSleep                             0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.TLSHandshake                            0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.VirtualThreadStart                      0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.ClassLoad                               0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ClassDefine                             0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.X509Certificate                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.X509Validation                          0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
