
 Version: 2.1
 Chunks: 1
 Start: 2026-03-30 22:59:59 (UTC)
 Duration: 6 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      1728         41221
 jdk.SystemProcess                         961        104614
 jdk.ThreadPark                            918         34901
 jdk.ModuleExport                          866          8502
 jdk.NativeLibrary                         853         72820
 jdk.BooleanFlag                           490         14424
 jdk.ObjectAllocationSample                371          5604
 jdk.ActiveSetting                         360         10031
 jdk.PromoteObjectInNewPLAB                288          4947
 jdk.NativeMethodSample                    264          2902
 jdk.Checkpoint                            248        526846
 jdk.JavaErrorThrow                        199          7158
 jdk.LongFlag                              162          5092
 jdk.ModuleRequire                         157          1413
 jdk.UnsignedLongFlag                      132          4353
 jdk.Deoptimization                         86          2030
 jdk.InitialEnvironmentVariable             74          4253
 jdk.ThreadAllocationStatistics             69           704
 jdk.ThreadStart                            50           602
 jdk.InitialSecurityProperty                48          2532
 jdk.TenuringDistribution                   45           468
 jdk.PromoteObjectOutsidePLAB               44           694
 jdk.ExecuteVMOperation                     35           531
 jdk.StringFlag                             29          1052
 jdk.IntFlag                                23           892
 jdk.SafepointBegin                         20           275
 jdk.GCPhasePauseLevel1                     19           753
 jdk.JavaMonitorEnter                       18           414
 jdk.OldObjectSample                        17           543
 jdk.MetaspaceChunkFreeListSummary          16           288
 jdk.GCReferenceStatistics                  16           166
 jdk.InitialSystemProperty                  16          1004
 jdk.UnsignedIntFlag                        15           476
 jdk.DoubleFlag                             15           590
 jdk.GCPhasePauseLevel2                     14           451
 jdk.GCHeapSummary                           8           301
 jdk.MetaspaceSummary                        8           404
 jdk.G1HeapSummary                           8           182
 jdk.SocketRead                              8           344
 jdk.ClassLoaderStatistics                   7           185
 jdk.ExecutionSample                         7            75
 jdk.ThreadEnd                               6            56
 jdk.GCHeapMemoryPoolUsage                   6           218
 jdk.GCPhaseConcurrent                       6           269
 jdk.CodeCacheStatistics                     6           165
 jdk.ResidentSetSize                         5            75
 jdk.G1MMU                                   5            65
 jdk.GCCPUTime                               5            70
 jdk.GCPhasePause                            5           122
 jdk.JavaThreadStatistics                    5            55
 jdk.ClassLoadingStatistics                  5            50
 jdk.CompilerStatistics                      5           135
 jdk.FinalizerStatistics                     5            80
 jdk.ExceptionStatistics                     5            65
 jdk.GarbageCollection                       4            90
 jdk.GCPhaseConcurrentLevel1                 4           147
 jdk.CPULoad                                 4            76
 jdk.ThreadCPULoad                           4            65
 jdk.JavaMonitorWait                         3            79
 jdk.YoungGarbageCollection                  3            39
 jdk.G1GarbageCollection                     3            39
