
 Version: 2.1
 Chunks: 1
 Start: 2026-03-30 22:59:44 (UTC)
 Duration: 6 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      1752         41779
 jdk.SystemProcess                         959        104468
 jdk.ModuleExport                          866          8514
 jdk.NativeLibrary                         853         72820
 jdk.BooleanFlag                           490         14424
 jdk.ActiveSetting                         360         10031
 jdk.ObjectAllocationSample                328          4852
 jdk.PromoteObjectInNewPLAB                282          4845
 jdk.NativeMethodSample                    271          2978
 jdk.JavaErrorThrow                        182          6918
 jdk.LongFlag                              162          5092
 jdk.ModuleRequire                         157          1413
 jdk.Checkpoint                            145        448472
 jdk.UnsignedLongFlag                      132          4352
 jdk.ThreadPark                            101          3552
 jdk.Deoptimization                         83          1958
 jdk.InitialEnvironmentVariable             74          4253
 jdk.ThreadAllocationStatistics             49           491
 jdk.InitialSecurityProperty                48          2532
 jdk.TenuringDistribution                   45           468
 jdk.PromoteObjectOutsidePLAB               41           645
 jdk.ExecuteVMOperation                     36           547
 jdk.ThreadStart                            34           398
 jdk.StringFlag                             29          1046
 jdk.IntFlag                                23           892
 jdk.SafepointBegin                         20           274
 jdk.GCPhasePauseLevel1                     19           753
 jdk.OldObjectSample                        18           566
 jdk.MetaspaceChunkFreeListSummary          16           288
 jdk.GCReferenceStatistics                  16           166
 jdk.InitialSystemProperty                  16          1004
 jdk.JavaMonitorEnter                       15           345
 jdk.UnsignedIntFlag                        15           476
 jdk.DoubleFlag                             15           590
 jdk.GCPhasePauseLevel2                     14           451
 jdk.ThreadEnd                              10            90
 jdk.GCHeapSummary                           8           301
 jdk.MetaspaceSummary                        8           404
 jdk.G1HeapSummary                           8           182
 jdk.ThreadCPULoad                           7           112
 jdk.ClassLoaderStatistics                   7           185
 jdk.ResidentSetSize                         6            90
 jdk.GCHeapMemoryPoolUsage                   6           218
 jdk.GCPhaseConcurrent                       6           269
 jdk.JavaThreadStatistics                    6            66
 jdk.ClassLoadingStatistics                  6            60
 jdk.CompilerStatistics                      6           162
 jdk.CodeCacheStatistics                     6           165
 jdk.ExceptionStatistics                     6            78
 jdk.G1MMU                                   5            65
 jdk.GCCPUTime                               5            73
 jdk.GCPhasePause                            5           121
 jdk.CPULoad                                 5            95
 jdk.FinalizerStatistics                     5            80
 jdk.GarbageCollection                       4            87
 jdk.GCPhaseConcurrentLevel1                 4           147
 jdk.JavaMonitorWait                         3            79
 jdk.YoungGarbageCollection                  3            38
 jdk.G1GarbageCollection                     3            38
 jdk.EvacuationInformation                   3            75
 jdk.G1EvacuationYoungStatistics             3           108
 jdk.G1EvacuationOldStatistics               3            79
 jdk.G1BasicIHOP                             3           112
 jdk.G1AdaptiveIHOP                          3           118
 jdk.ExecutionSample                         3            33
 jdk.GCHeapMemoryUsage                       2            40
 jdk.MetaspaceGCThreshold                    2            32
 jdk.PhysicalMemory                          2            37
 jdk.GCConfiguration                         2            49
 jdk.Metadata                                1        103227
 jdk.ActiveRecording                         1            50
 jdk.DirectBufferStatistics                  1            23
 jdk.MetaspaceAllocationFailure              1            14
 jdk.OldGarbageCollection                    1            12
 jdk.Shutdown                                1            40
 jdk.JVMInformation                          1           682
 jdk.OSInformation                           1           141
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1           113
 jdk.CPUTimeStampCounter                     1            18
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            40
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            25
 jdk.YoungGenerationConfiguration            1            16
 jdk.Deserialization                         0             0
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.ThreadSleep                             0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.TLSHandshake                            0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.VirtualThreadStart                      0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.ClassLoad                               0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ClassDefine                             0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.X509Certificate                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.X509Validation                          0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.Compilation                             0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.NetworkUtilization                      0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.StringTableStatistics                   0             0
 jdk.ThreadDump                              0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZYoungGarbageCollection                 0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZUnmap                                  0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.Flush                                   0             0
 jdk.HeapDump                                0             0
 jdk.GCLocker                                0             0
 jdk.JavaAgent                               0             0
 jdk.NativeAgent                             0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.JavaExceptionThrow                      0             0
